"학교ID",학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000001838,서울휘경초등학교,초등학교,1959-10-10,공립,본교,운영,서울특별시 동대문구 휘경동 302-2,서울특별시 동대문구 망우로6길 48,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.5857358,127.0582128,2020-03-20
B000001839,서울동답초등학교,초등학교,1984-05-23,공립,본교,운영,서울특별시 동대문구 답십리동 2-24,서울특별시 동대문구 답십리로60길 12,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.571503,127.0640336,2020-03-20
B000001840,서울답십리초등학교,초등학교,1962-11-29,공립,본교,운영,서울특별시 동대문구 답십리동 274,서울특별시 동대문구 전농로3길 23,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.5688043,127.0554286,2020-03-20
B000001841,서울신답초등학교,초등학교,1972-05-09,공립,본교,운영,서울특별시 동대문구 답십리동 463-13,서울특별시 동대문구 천호대로 177,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.5727054,127.0429615,2020-03-20
B000001842,서울용두초등학교,초등학교,1948-11-01,공립,본교,운영,서울특별시 동대문구 용두동 237-1,서울특별시 동대문구 천호대로13길 43,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.5764147,127.0283873,2020-03-20
B000001843,서울이문초등학교,초등학교,1967-09-06,공립,본교,운영,서울특별시 동대문구 이문동 358-34,서울특별시 동대문구 신이문로 16,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.6018948,127.0648841,2020-03-20
B000001844,서울군자초등학교,초등학교,1973-11-22,공립,본교,운영,서울특별시 동대문구 장안동 239-2,서울특별시 동대문구 한천로6길 21,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.5641238,127.0605231,2020-03-20
B000001845,서울장평초등학교,초등학교,1980-04-04,공립,본교,운영,서울특별시 동대문구 장안동 323,서울특별시 동대문구 답십리로69길 27,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.5739948,127.0738934,2020-03-20
B000001846,서울안평초등학교,초등학교,1990-10-10,공립,본교,운영,서울특별시 동대문구 장안동 353-1,서울특별시 동대문구 장한로14길 61,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.5659698,127.0720337,2020-03-20
B000001847,서울배봉초등학교,초등학교,1971-10-08,공립,본교,운영,서울특별시 동대문구 전농동 3-111,서울특별시 동대문구 사가정로 193,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.5800825,127.0668713,2020-03-20
B000001848,서울전동초등학교,초등학교,1969-05-20,공립,본교,운영,서울특별시 동대문구 전농동 45-41,서울특별시 동대문구 전농로16길 61,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.5790838,127.0608069,2020-03-20
B000001849,서울전곡초등학교,초등학교,1961-04-06,공립,본교,운영,서울특별시 동대문구 전농동 188,서울특별시 동대문구 전농로 172,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.5807044,127.0560126,2020-03-20
B000001850,서울전농초등학교,초등학교,1942-04-08,공립,본교,운영,서울특별시 동대문구 전농동 298,서울특별시 동대문구 사가정로 66,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.5747298,127.0543327,2020-03-20
B000001851,서울홍파초등학교,초등학교,1960-07-05,공립,본교,운영,서울특별시 동대문구 제기동 678,서울특별시 동대문구 고산자로 518,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-09,37.5862225,127.0395183,2020-03-20
B000001852,서울종암초등학교,초등학교,1922-07-08,공립,본교,운영,서울특별시 동대문구 제기동 1157,서울특별시 동대문구 무학로44길 25,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.5823063,127.0318584,2020-03-20
B000001853,서울홍릉초등학교,초등학교,1967-11-30,공립,본교,운영,서울특별시 동대문구 청량리동 206-44,서울특별시 동대문구 회기로 90,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.5906874,127.0477047,2020-03-20
B000001854,서울청량초등학교,초등학교,1937-04-05,공립,본교,운영,서울특별시 동대문구 회기동 1-1,서울특별시 동대문구 회기로25길 31,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.5923092,127.055908,2020-03-20
B000001855,서울휘봉초등학교,초등학교,2006-03-01,공립,본교,운영,서울특별시 동대문구 휘경동 49-27,서울특별시 동대문구 장안벚꽃로 309,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.5856776,127.0700419,2020-03-20
B000001856,경희초등학교,초등학교,1961-05-18,사립,본교,운영,서울특별시 동대문구 회기동 산4-50,서울특별시 동대문구 경희대로 26,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.5939495,127.0548902,2020-03-20
B000001857,서울삼육초등학교,초등학교,1913-10-01,사립,본교,운영,서울특별시 동대문구 회기동 102-48,서울특별시 동대문구 회기로10길 63,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.5887703,127.0471736,2020-03-20
B000001858,은석초등학교,초등학교,1963-04-16,사립,본교,운영,서울특별시 동대문구 장안동 328,서울특별시 동대문구 장안벚꽃로 205,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.5785598,127.0757635,2020-03-20
B000001859,서울면목초등학교,초등학교,1944-11-12,공립,본교,운영,서울특별시 중랑구 면목동 221,서울특별시 중랑구 면목로 434,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.5906972,127.0872887,2020-03-20
B000001860,서울면남초등학교,초등학교,1983-10-19,공립,본교,운영,서울특별시 중랑구 면목동 583-15,서울특별시 중랑구 면목로30나길 38,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.5772613,127.087667,2020-03-20
B000001861,서울동원초등학교,초등학교,1991-05-04,공립,본교,운영,서울특별시 중랑구 망우동 216,서울특별시 중랑구 송림길 114,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.6045765,127.1044914,2020-03-20
B000001862,서울면북초등학교,초등학교,1983-09-05,공립,본교,운영,서울특별시 중랑구 망우동 119,서울특별시 중랑구 용마공원로5길 32,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.5944178,127.1035487,2020-03-20
B000001863,서울망우초등학교,초등학교,1977-03-01,공립,본교,운영,서울특별시 중랑구 망우동 153-1,서울특별시 중랑구 망우로72길 49,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.5987387,127.1038401,2020-03-20
B000001864,서울면일초등학교,초등학교,1983-04-21,공립,본교,운영,서울특별시 중랑구 망우동 438-2,서울특별시 중랑구 용마산로100길 13,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.5920424,127.0997953,2020-03-20
B000001865,서울면중초등학교,초등학교,1976-06-05,공립,본교,운영,서울특별시 중랑구 면목동 491-1,서울특별시 중랑구 용마산로70길 43,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.5824405,127.0965491,2020-03-20
B000001866,서울중곡초등학교,초등학교,1967-09-05,공립,본교,운영,서울특별시 중랑구 면목동 380,서울특별시 중랑구 면목로23길 20,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.574893,127.0834395,2020-03-20
B000001867,서울면동초등학교,초등학교,1978-09-01,공립,본교,운영,서울특별시 중랑구 면목동 551,서울특별시 중랑구 면목로57길 32,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.5853531,127.0865941,2020-03-20
B000001868,서울중목초등학교,초등학교,1997-11-04,공립,본교,운영,서울특별시 중랑구 면목동 180-5,서울특별시 중랑구 동일로 665,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.5900865,127.0793361,2020-03-20
B000001869,서울중랑초등학교,초등학교,1972-05-08,공립,본교,운영,서울특별시 중랑구 면목동 192-1,서울특별시 중랑구 봉우재로6길 26,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.5896638,127.0755031,2020-03-20
B000001870,서울원묵초등학교,초등학교,1995-11-10,공립,본교,운영,서울특별시 중랑구 묵동 11,서울특별시 중랑구 숙선옹주로 109,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.6177489,127.0868129,2020-03-20
B000001871,서울묵현초등학교,초등학교,2004-10-29,공립,본교,운영,서울특별시 중랑구 묵동 242-55,서울특별시 중랑구 동일로157길 75,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.6090795,127.0736243,2020-03-20
B000001872,서울신묵초등학교,초등학교,1984-12-05,공립,본교,운영,서울특별시 중랑구 묵동 246-12,서울특별시 중랑구 동일로149길 46,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.6065229,127.0758372,2020-03-20
B000001873,서울상봉초등학교,초등학교,1983-10-25,공립,본교,운영,서울특별시 중랑구 상봉동 312-1,서울특별시 중랑구 동일로126가길 11,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.5979802,127.0831709,2020-03-20
B000001874,서울신현초등학교,초등학교,1996-03-01,공립,본교,운영,서울특별시 중랑구 신내동 663,서울특별시 중랑구 봉화산로 188,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.6058147,127.0935852,2020-03-20
B000001875,서울신내초등학교,초등학교,1994-01-05,공립,본교,운영,서울특별시 중랑구 신내동 444,서울특별시 중랑구 용마산로125나길 22,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.6049335,127.1001296,2020-03-20
B000001876,서울중화초등학교,초등학교,1946-11-07,공립,본교,운영,서울특별시 중랑구 신내동 531,서울특별시 중랑구 신내로7가길 22,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.6029203,127.094066,2020-03-20
B000001877,서울봉화초등학교,초등학교,1996-09-19,공립,본교,운영,서울특별시 중랑구 신내동 655,서울특별시 중랑구 신내로15길 110,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.6135749,127.0924077,2020-03-20
B000001878,서울묵동초등학교,초등학교,1972-12-23,공립,본교,운영,서울특별시 중랑구 중화동 277-1,서울특별시 중랑구 동일로138길 27,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.603359,127.0808259,2020-03-20
B000001879,서울중흥초등학교,초등학교,1999-10-02,공립,본교,운영,서울특별시 중랑구 중화동 119,서울특별시 중랑구 봉화산로 82,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.6016736,127.0841443,2020-03-20
B000001880,금성초등학교,초등학교,1965-06-26,사립,본교,운영,서울특별시 중랑구 신내동 651,서울특별시 중랑구 신내로21길 55,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2019-09-10,37.615314,127.0898591,2020-03-20
B000001881,서울은빛초등학교,초등학교,2011-05-09,공립,본교,운영,서울특별시 은평구 진관동 41-25,서울특별시 은평구 진관3로 73-17,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.6426599,126.9190817,2020-03-20
B000001882,서울신도초등학교,초등학교,1928-12-01,공립,본교,운영,서울특별시 은평구 진관동 108,서울특별시 은평구 진관1로 77-23,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.6329639,126.9291978,2020-03-20
B000001883,서울은진초등학교,초등학교,2009-04-30,공립,본교,운영,서울특별시 은평구 진관동 104,서울특별시 은평구 진관1로 21-20,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.6330301,126.9209954,2020-03-20
B000001884,서울진관초등학교,초등학교,2008-09-01,공립,본교,운영,서울특별시 은평구 진관동 8,서울특별시 은평구 진관4로 78-16,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.6454343,126.9292124,2020-03-20
B000001885,서울북한산초등학교,초등학교,1967-03-25,공립,본교,운영,서울특별시 은평구 진관동 산3,서울특별시 은평구 대서문길 42-3,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.6536333,126.9504646,2020-03-20
B000001886,서울갈현초등학교,초등학교,1967-03-13,공립,본교,운영,서울특별시 은평구 갈현동 451-15,서울특별시 은평구 연서로29길 31,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.6197804,126.9166825,2020-03-20
B000001887,서울구현초등학교,초등학교,2009-04-27,공립,본교,운영,서울특별시 은평구 구산동 164,서울특별시 은평구 갈현로15길 51,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.6091514,126.9058084,2020-03-20
B000001888,서울구산초등학교,초등학교,1977-11-29,공립,본교,운영,서울특별시 은평구 구산동 152-3,서울특별시 은평구 서오릉로15길 16,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.612751,126.9093783,2020-03-20
B000001889,서울은평초등학교,초등학교,1931-04-01,공립,본교,운영,서울특별시 은평구 녹번동 40-3,서울특별시 은평구 은평로 239,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.602305,126.9340329,2020-03-20
B000001890,서울녹번초등학교,초등학교,1982-09-24,공립,본교,운영,서울특별시 은평구 녹번동 174,서울특별시 은평구 녹번로1길 1,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.604585,126.9257457,2020-03-20
B000001891,서울수리초등학교,초등학교,2011-03-01,공립,본교,운영,서울특별시 은평구 불광동 639,서울특별시 은평구 불광로14길 10-10,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.6203068,126.9341783,2020-03-20
B000001892,서울대조초등학교,초등학교,1967-11-24,공립,본교,운영,서울특별시 은평구 대조동 212-1,서울특별시 은평구 연서로18길 17,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.6135799,126.9193035,2020-03-20
B000001893,서울연신초등학교,초등학교,1976-03-18,공립,본교,운영,서울특별시 은평구 불광동 73-1,서울특별시 은평구 연서로 347,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.6260586,126.9277498,2020-03-20
B000001894,서울불광초등학교,초등학교,1962-04-18,공립,본교,운영,서울특별시 은평구 불광동 272-2,서울특별시 은평구 불광로 51,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.6134285,126.9307204,2020-03-20
B000001895,서울연천초등학교,초등학교,1985-05-06,공립,본교,운영,서울특별시 은평구 불광동 346-153,서울특별시 은평구 연서로34길 22,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.6213496,126.9299202,2020-03-20
B000001896,서울연광초등학교,초등학교,2004-03-01,공립,본교,운영,서울특별시 은평구 불광동 400-6,서울특별시 은평구 연서로35길 37,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.6236488,126.9239098,2020-03-20
B000001897,서울수색초등학교,초등학교,1935-04-01,공립,본교,운영,서울특별시 은평구 수색동 129,서울특별시 은평구 수색로16길 21,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5851732,126.8960112,2020-03-20
B000001898,서울신사초등학교,초등학교,1980-10-24,공립,본교,운영,서울특별시 은평구 신사동 98-32,서울특별시 은평구 가좌로 275-2,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5928019,126.9119841,2020-03-20
B000001899,서울서신초등학교,초등학교,2005-03-01,공립,본교,운영,서울특별시 은평구 신사동 194,서울특별시 은평구 은평터널로 150,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5922933,126.9073831,2020-03-20
B000001900,서울상신초등학교,초등학교,1982-11-11,공립,본교,운영,서울특별시 은평구 신사동 238-2,서울특별시 은평구 가좌로 361,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5975529,126.9046045,2020-03-20
B000001901,서울역촌초등학교,초등학교,1972-03-16,공립,본교,운영,서울특별시 은평구 역촌동 82-1,서울특별시 은평구 은평로3길 25,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.6015857,126.9139261,2020-03-20
B000001902,서울은명초등학교,초등학교,2008-10-26,공립,본교,운영,서울특별시 은평구 응암동 114-12,서울특별시 은평구 은평로4길 21-9,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5976968,126.9182744,2020-03-20
B000001903,서울연은초등학교,초등학교,1983-09-26,공립,본교,운영,서울특별시 은평구 응암동 759-3,서울특별시 은평구 백련산로2길 35,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5905111,126.9251778,2020-03-20
B000001904,서울응암초등학교,초등학교,1962-11-12,공립,본교,운영,서울특별시 은평구 응암동 340,서울특별시 은평구 가좌로6길 20,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5887537,126.9216175,2020-03-20
B000001905,서울증산초등학교,초등학교,1976-11-26,공립,본교,운영,서울특별시 은평구 증산동 212,서울특별시 은평구 증산서길 61,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5825637,126.904275,2020-03-20
B000001906,서울대은초등학교,초등학교,1982-10-08,공립,본교,운영,서울특별시 은평구 대조동 82-5,서울특별시 은평구 통일로69길 12-15,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.612366,126.9258694,2020-03-20
B000001907,충암초등학교,초등학교,1966-11-09,사립,본교,운영,서울특별시 은평구 응암동 746-17,서울특별시 은평구 가좌로5길 5,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5846417,126.9218074,2020-03-20
B000001908,선일초등학교,초등학교,1965-09-27,사립,본교,운영,서울특별시 은평구 갈현동 240-1,서울특별시 은평구 갈현로29길 27,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.6197164,126.9127997,2020-03-20
B000001909,예일초등학교,초등학교,1965-09-26,사립,본교,운영,서울특별시 은평구 구산동 8-3,서울특별시 은평구 연서로 117,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.6096421,126.9160959,2020-03-20
B000001910,은혜초등학교,초등학교,1966-03-10,사립,본교,운영,서울특별시 은평구 불광동 331-27,서울특별시 은평구 통일로78가길 20,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.6177328,126.9273999,2020-03-20
B000001912,서울미동초등학교,초등학교,1896-05-01,공립,본교,운영,서울특별시 서대문구 미근동 36-1,서울특별시 서대문구 충정로 52,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5633488,126.9658506,2020-03-20
B000001913,서울금화초등학교,초등학교,1924-04-01,공립,본교,운영,서울특별시 서대문구 천연동 13-1,서울특별시 서대문구 통일로 165,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5688259,126.9629404,2020-03-20
B000001914,서울홍은초등학교,초등학교,1974-03-06,공립,본교,운영,서울특별시 서대문구 홍제동 286-5,서울특별시 서대문구 세검정로 105,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.597541,126.9494600266,2020-03-20
B000001915,서울홍제초등학교,초등학교,1947-01-10,공립,본교,운영,서울특별시 서대문구 홍은동 48-112,서울특별시 서대문구 홍은중앙로 13,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5935064,126.9454227,2020-03-20
B000001916,서울북성초등학교,초등학교,1941-11-01,공립,본교,운영,서울특별시 서대문구 북아현동 215,서울특별시 서대문구 북아현로1나길 22,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5596318,126.9518353,2020-03-20
B000001917,서울연가초등학교,초등학교,1973-09-07,공립,본교,운영,서울특별시 서대문구 남가좌동 364-6,서울특별시 서대문구 증가로12가길 49-50,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5795643,126.9173296,2020-03-20
B000001918,서울대신초등학교,초등학교,1965-03-10,공립,본교,운영,서울특별시 서대문구 대현동 67-1,서울특별시 서대문구 이화여대2길 27,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.557702,126.9480383,2020-03-20
B000001919,서울북가좌초등학교,초등학교,1969-03-24,공립,본교,운영,서울특별시 서대문구 북가좌동 376-17,서울특별시 서대문구 거북골로19길 20,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5772218,126.9077776,2020-03-20
B000001920,서울연희초등학교,초등학교,1968-12-07,공립,본교,운영,서울특별시 서대문구 연희동 88-1,서울특별시 서대문구 연희로 136,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5690476,126.9341438,2020-03-20
B000001921,서울창서초등학교,초등학교,1961-11-01,공립,본교,운영,서울특별시 서대문구 창천동 53-38,서울특별시 서대문구 연세로5나길 30-3,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5581416,126.9334788,2020-03-20
B000001922,서울홍연초등학교,초등학교,1975-07-03,공립,본교,운영,서울특별시 서대문구 홍은동 305,서울특별시 서대문구 백련사길 55,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5819985,126.9309307,2020-03-20
B000001923,서울안산초등학교,초등학교,1937-11-30,공립,본교,운영,서울특별시 서대문구 홍제동 44,서울특별시 서대문구 통일로 321,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5791691,126.9522121,2020-03-20
B000001924,서울인왕초등학교,초등학교,1962-11-12,공립,본교,운영,서울특별시 서대문구 홍제동 241-113,서울특별시 서대문구 세무서길 33-9,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5902301,126.9448046,2020-03-20
B000001925,서울고은초등학교,초등학교,1971-12-03,공립,본교,운영,서울특별시 서대문구 홍제동 320-12,서울특별시 서대문구 모래내로 441,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5850003,126.9439752,2020-03-20
B000001926,경기초등학교,초등학교,1964-12-03,사립,본교,운영,서울특별시 서대문구 충정로2가 70-2,서울특별시 서대문구 경기대로9길 10,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5651102,126.9628608,2020-03-20
B000001927,이화여자대학교사범대학부속초등학교,초등학교,1955-04-08,사립,본교,운영,서울특별시 서대문구 대신동 20,서울특별시 서대문구 성산로 512-39,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5611486,126.9427504,2020-03-20
B000001928,추계초등학교,초등학교,1964-07-20,사립,본교,운영,서울특별시 서대문구 북아현동 190-1,서울특별시 서대문구 북아현로11가길 7,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5631498,126.9532093,2020-03-20
B000001929,명지초등학교,초등학교,1967-03-15,사립,본교,운영,서울특별시 서대문구 홍은동 산26-127,서울특별시 서대문구 명지2길 32-20,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5836295,126.9282301,2020-03-20
B000001930,서울공덕초등학교,초등학교,1944-04-11,공립,본교,운영,서울특별시 마포구 공덕동 256-4,서울특별시 마포구 만리재옛길 13,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5458044,126.9548225,2020-03-20
B000001931,서울창천초등학교,초등학교,1940-04-01,공립,본교,운영,서울특별시 마포구 노고산동 33-1,서울특별시 마포구 백범로1길 56,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5549192,126.9392942,2020-03-20
B000001932,서울용강초등학교,초등학교,1916-04-26,공립,본교,운영,서울특별시 마포구 대흥동 51,서울특별시 마포구 백범로17길 9,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5491011,126.9440428,2020-03-20
B000001933,서울마포초등학교,초등학교,1911-06-12,공립,본교,운영,서울특별시 마포구 도화동 347-5,서울특별시 마포구 도화2길 64,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5386016,126.9498166,2020-03-20
B000001934,서울동교초등학교,초등학교,1975-04-18,공립,본교,운영,서울특별시 마포구 망원동 426-5,서울특별시 마포구 월드컵로25길 86,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5586246,126.9023997,2020-03-20
B000001935,서울망원초등학교,초등학교,1984-10-26,공립,본교,운영,서울특별시 마포구 망원동 467-1,서울특별시 마포구 방울내로5길 28,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5608901,126.9007624,2020-03-20
B000001936,서울서강초등학교,초등학교,1937-04-01,공립,본교,운영,서울특별시 마포구 상수동 1-1,서울특별시 마포구 독막로 113,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5486953,126.9268512,2020-03-20
B000001937,서울하늘초등학교,초등학교,2011-03-01,공립,본교,운영,서울특별시 마포구 상암동 1737,서울특별시 마포구 월드컵북로 502-14,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5858076,126.8808616,2020-03-20
B000001938,서울서교초등학교,초등학교,1962-07-12,공립,본교,운영,서울특별시 마포구 서교동 341,서울특별시 마포구 와우산로23길 20-27,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5548889,126.9243781,2020-03-20
B000001939,서울성원초등학교,초등학교,1986-10-21,공립,본교,운영,서울특별시 마포구 성산동 175-1,서울특별시 마포구 월드컵로36길 34,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5669825,126.9050873,2020-03-20
B000001940,서울성서초등학교,초등학교,1984-05-23,공립,본교,운영,서울특별시 마포구 성산동 31-1,서울특별시 마포구 성미산로7길 24,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2019-09-10,37.5605955,126.9109264,2020-03-20
